Original duration,Reconstructed duration,Duration difference
49.31922902494331,49.31918367346939,4.535147392203953e-05
40.29002267573696,40.28662131519275,0.0034013605442169
33.541269841269845,33.54122448979592,4.535147392914496e-05
39.53201814058957,39.53197278911565,4.535147392203953e-05
44.210839002267576,44.21079365079365,4.535147392203953e-05
55.54938775510204,55.54213151927438,0.0072562358276613
39.93832199546485,39.93832199546485,0.0
45.46616780045351,45.464671201814056,0.0014965986394557
43.245714285714286,43.23555555555556,0.0101587301587287
65.25387755102041,65.24807256235827,0.0058049886621347
38.359410430839006,38.35936507936508,4.535147392914496e-05
45.88408163265306,45.88263038548753,0.0014512471655336
35.03460317460318,35.02730158730159,0.0073015873015904
46.91832199546485,46.91591836734694,0.0024036281179107
41.75596371882086,41.749478458049886,0.0064852607709724
63.28603174603175,63.285986394557824,4.535147392203953e-05
42.27052154195011,42.26031746031746,0.0102040816326507
52.41034013605442,52.40743764172336,0.0029024943310673
37.63950113378685,37.62793650793651,0.0115646258503403
43.27183673469388,43.27038548752834,0.0014512471655336
37.66739229024943,37.6627664399093,0.0046258503401332
46.99718820861678,46.99718820861678,0.0
60.55619047619047,60.546031746031744,0.0101587301587287
48.0,47.9956462585034,0.004353741496601
32.18290249433107,32.182857142857145,4.535147392203953e-05
54.148979591836735,54.14893424036281,4.535147392203953e-05
45.30072562358277,45.29052154195011,0.0102040816326507
46.75922902494331,46.75337868480726,0.0058503401360496
46.62571428571429,46.625668934240366,4.535147392203953e-05
35.97496598639456,35.9677097505669,0.0072562358276613
41.29959183673469,41.29668934240363,0.0029024943310602
42.93750566893424,42.93369614512471,0.0038095238095294
54.03863945578231,54.03283446712018,0.0058049886621276
40.006530612244894,39.996371882086166,0.0101587301587287
45.04671201814059,45.04671201814059,0.0
36.23183673469388,36.22312925170068,0.008707482993195
38.30857142857143,38.301315192743765,0.0072562358276613
39.659727891156464,39.65968253968254,4.535147392203953e-05
51.362585034013605,51.36253968253968,4.535147392203953e-05
44.83482993197279,44.82612244897959,0.0087074829932021
32.265578231292515,32.26412698412698,0.0014512471655336
43.83927437641724,43.83927437641724,0.0
38.15183673469388,38.15038548752835,0.0014512471655336
43.502585034013606,43.502585034013606,0.0
49.54145124716553,49.53977324263039,0.0016780045351438
54.89201814058957,54.89197278911565,4.535147392203953e-05
52.74126984126984,52.73251700680272,0.008752834467117
37.1897052154195,37.18675736961451,0.0029478458049894
40.89469387755102,40.89034013605442,0.004353741496601
39.01387755102041,39.00952380952381,0.0043537414965939
38.204081632653065,38.1968253968254,0.0072562358276684
40.58852607709751,40.58848072562358,4.535147392203953e-05
35.896643990929704,35.88643990929705,0.0102040816326507
46.21945578231293,46.219319727891154,0.0001360544217732
39.72358276643991,39.717732426303854,0.0058503401360567
40.86716553287982,40.867120181405895,4.535147392203953e-05
47.325215419501134,47.32226757369615,0.0029478458049894
59.33283446712018,59.32698412698413,0.0058503401360496
53.22013605442177,53.22013605442177,0.0
62.06362811791383,62.05532879818594,0.0082993197278895
120.68571428571428,120.68571428571428,0.0
17.4702947845805,17.46140589569161,0.0088888888888902
16.99206349206349,16.985396825396826,0.0066666666666641
17.076190476190476,17.066666666666666,0.0095238095238094
14.356190476190475,14.349931972789117,0.0062585034013622
17.799455782312926,17.79809523809524,0.001360544217686
18.868163265306123,18.86621315192744,0.0019501133786867
17.91265306122449,17.902585034013605,0.0100680272108846
19.34684807256236,19.342222222222222,0.0046258503401368
16.747437641723355,16.741587301587302,0.0058503401360532
17.3584126984127,17.356916099773244,0.0014965986394557
14.4784126984127,14.477641723356008,0.0007709750566906
19.51628117913832,19.504761904761907,0.0115192743764147
15.91909297052154,15.917278911564626,0.0018140589569153
19.31628117913832,19.30739229024943,0.0088888888888902
13.236689342403627,13.235374149659863,0.001315192743764
17.40825396825397,17.403356009070293,0.0048979591836761
18.30585034013605,18.297324263038547,0.0085260770975068
12.598004535147393,12.596825396825396,0.0011791383219961
17.73795918367347,17.728435374149658,0.009523809523813
18.69696145124717,18.692063492063493,0.0048979591836726
16.070204081632653,16.068208616780044,0.0019954648526088
16.867709750566892,16.857687074829933,0.010022675736959
20.60453514739229,20.59609977324263,0.0084353741496592
12.925260770975056,12.92190476190476,0.0033560090702948
20.229750566893426,20.224580498866214,0.0051700680272119
17.591836734693878,17.589115646258502,0.0027210884353756
11.18,11.168798185941045,0.0112018140589569
