Scenario,Model,Original UAR,Reconstructed UAR,Layer,Classifier,Difference,Absolute difference
German → Spanish,WavLM,0.56,0.57,11,linear_svm,0.0099999999999998,0.0099999999999998
German → Spanish,WavLM,0.68,0.69,11,logistic_regression,0.0099999999999998,0.0099999999999998
German → Spanish,WavLM,0.7789855072463768,0.7717391304347826,11,linear_svm,-0.0072463768115942,0.0072463768115942
German → Spanish,WavLM,0.7971014492753623,0.7934782608695652,11,logistic_regression,-0.0036231884057971,0.0036231884057971
Spanish → Spanish,WavLM,0.78,0.78,4,linear_svm,0.0,0.0
Spanish → Spanish,WavLM,0.8,0.8200000000000001,4,logistic_regression,0.02,0.02
Spanish → German,WavLM,0.5227272727272727,0.5511363636363636,4,linear_svm,0.0284090909090909,0.0284090909090909
Spanish → German,WavLM,0.5625,0.5568181818181818,4,logistic_regression,-0.0056818181818182,0.0056818181818182
German → German,WavLM,0.7386363636363636,0.7443181818181819,4,linear_svm,0.0056818181818182,0.0056818181818182
German → German,WavLM,0.7670454545454546,0.7727272727272727,4,logistic_regression,0.0056818181818181,0.0056818181818181
German → Spanish,WavLM,0.66,0.61,4,linear_svm,-0.05,0.05
German → Spanish,WavLM,0.66,0.61,4,logistic_regression,-0.05,0.05
German → Spanish,WavLM,0.7427536231884058,0.7572463768115942,4,linear_svm,0.0144927536231884,0.0144927536231884
German → Spanish,WavLM,0.7681159420289856,0.7717391304347827,4,logistic_regression,0.0036231884057971,0.0036231884057971
Spanish → Spanish,WavLM,0.75,0.76,8,linear_svm,0.01,0.01
Spanish → Spanish,WavLM,0.78,0.77,8,logistic_regression,-0.01,0.01
Spanish → German,WavLM,0.6193181818181818,0.5397727272727273,8,linear_svm,-0.0795454545454544,0.0795454545454544
Spanish → German,WavLM,0.6534090909090908,0.6193181818181819,8,logistic_regression,-0.0340909090909089,0.0340909090909089
German → German,WavLM,0.7556818181818181,0.7556818181818181,8,linear_svm,0.0,0.0
German → German,WavLM,0.8068181818181818,0.7556818181818181,8,logistic_regression,-0.0511363636363636,0.0511363636363636
German → Spanish,WavLM,0.55,0.5,8,linear_svm,-0.05,0.05
German → Spanish,WavLM,0.65,0.65,8,logistic_regression,0.0,0.0
German → Spanish,WavLM,0.7681159420289855,0.7536231884057971,8,linear_svm,-0.0144927536231883,0.0144927536231883
German → Spanish,WavLM,0.8043478260869565,0.7898550724637681,8,logistic_regression,-0.0144927536231884,0.0144927536231884
