evaluation_model,evaluation_layer,scenario,classifier,uar_original,uar_converted,uar_delta,accuracy_original,accuracy_converted,accuracy_delta,sensitivity_original,sensitivity_converted,specificity_original,specificity_converted,auc_original,auc_converted
wav2vec2,4,Spanish->German,linear_svm,0.475,0.45,-0.024999999999999967,0.475,0.45,-0.024999999999999967,0.6,0.55,0.35,0.35,0.4375,0.44
wav2vec2,4,Spanish->German,logistic_regression,0.475,0.4,-0.07499999999999996,0.475,0.4,-0.07499999999999996,0.6,0.55,0.35,0.25,0.4625,0.4325
wav2vec2,4,Spanish->Spanish,linear_svm,0.775,0.9624999999999999,0.1874999999999999,0.775,0.9625,0.1875,0.75,0.975,0.8,0.95,0.8825000000000001,0.993125
wav2vec2,4,Spanish->Spanish,logistic_regression,0.825,0.95,0.125,0.825,0.95,0.125,0.75,0.95,0.9,0.95,0.89,0.99125
wav2vec2,4,German->German,linear_svm,0.6,0.9125,0.3125,0.6,0.9125,0.3125,0.5,0.95,0.7,0.875,0.60375,0.9693749999999999
wav2vec2,4,German->German,logistic_regression,0.575,0.9125000000000001,0.33750000000000013,0.575,0.9125,0.3375,0.45,0.925,0.7,0.9,0.6174999999999999,0.95875
wav2vec2,4,Combined->Combined,linear_svm,0.75,0.85625,0.10624999999999996,0.75,0.85625,0.10624999999999996,0.7,0.825,0.8,0.8875,0.819375,0.9353125
wav2vec2,4,Combined->Combined,logistic_regression,0.75,0.86875,0.11875000000000002,0.75,0.86875,0.11875000000000002,0.675,0.8375,0.825,0.9,0.815625,0.934375
wav2vec2,8,German->Spanish,linear_svm,0.6499999999999999,0.525,-0.12499999999999989,0.65,0.525,-0.125,0.35,0.2,0.95,0.85,0.7949999999999999,0.69
wav2vec2,8,German->Spanish,logistic_regression,0.7,0.625,-0.07499999999999996,0.7,0.625,-0.07499999999999996,0.65,0.55,0.75,0.7,0.7849999999999999,0.685
wav2vec2,8,Spanish->German,linear_svm,0.625,0.625,0.0,0.625,0.625,0.0,0.95,0.9,0.3,0.35,0.5549999999999999,0.6325000000000001
wav2vec2,8,Spanish->German,logistic_regression,0.6,0.575,-0.025000000000000022,0.6,0.575,-0.025000000000000022,0.95,0.9,0.25,0.25,0.59,0.6575000000000001
wav2vec2,8,Spanish->Spanish,linear_svm,0.775,0.9624999999999999,0.1874999999999999,0.775,0.9625,0.1875,0.75,0.975,0.8,0.95,0.8574999999999999,0.9724999999999999
wav2vec2,8,Spanish->Spanish,logistic_regression,0.8,0.95,0.1499999999999999,0.8,0.95,0.1499999999999999,0.75,0.95,0.85,0.95,0.855,0.966875
wav2vec2,8,German->German,linear_svm,0.675,0.85,0.17499999999999993,0.675,0.85,0.17499999999999993,0.7,0.825,0.65,0.875,0.62125,0.961875
wav2vec2,8,German->German,logistic_regression,0.55,0.85,0.29999999999999993,0.55,0.85,0.29999999999999993,0.55,0.825,0.55,0.875,0.6475,0.9481249999999999
wav2vec2,8,Combined->Combined,linear_svm,0.7875,0.85625,0.06874999999999998,0.7875,0.85625,0.06874999999999998,0.825,0.8375,0.75,0.875,0.8306250000000001,0.94046875
wav2vec2,8,Combined->Combined,logistic_regression,0.7875,0.8625,0.07500000000000007,0.7875,0.8625,0.07500000000000007,0.825,0.8375,0.75,0.8875,0.834375,0.93390625
wav2vec2,11,German->Spanish,linear_svm,0.5,0.5,0.0,0.5,0.5,0.0,0.4,0.2,0.6,0.8,0.45125000000000004,0.41374999999999995
wav2vec2,11,German->Spanish,logistic_regression,0.65,0.625,-0.025000000000000022,0.65,0.625,-0.025000000000000022,0.5,0.5,0.8,0.75,0.6000000000000001,0.575
wav2vec2,11,Spanish->German,linear_svm,0.575,0.55,-0.02499999999999991,0.575,0.55,-0.02499999999999991,0.9,0.85,0.25,0.25,0.6174999999999999,0.665
wav2vec2,11,Spanish->German,logistic_regression,0.625,0.575,-0.050000000000000044,0.625,0.575,-0.050000000000000044,0.85,0.85,0.4,0.3,0.6224999999999999,0.605
wav2vec2,11,Spanish->Spanish,linear_svm,0.75,0.875,0.125,0.75,0.875,0.125,0.6,0.9,0.9,0.85,0.8275,0.9437500000000001
wav2vec2,11,Spanish->Spanish,logistic_regression,0.7,0.875,0.17500000000000004,0.7,0.875,0.17500000000000004,0.55,0.875,0.85,0.875,0.805,0.940625
wav2vec2,11,German->German,linear_svm,0.575,0.9375,0.36250000000000004,0.575,0.9375,0.36250000000000004,0.55,0.975,0.6,0.9,0.6725000000000001,0.941875
wav2vec2,11,German->German,logistic_regression,0.575,0.925,0.3500000000000001,0.575,0.925,0.3500000000000001,0.45,0.95,0.7,0.9,0.6399999999999999,0.950625
wav2vec2,11,Combined->Combined,linear_svm,0.8,0.8875,0.08749999999999991,0.8,0.8875,0.08749999999999991,0.8,0.8625,0.8,0.9125,0.87,0.90515625
wav2vec2,11,Combined->Combined,logistic_regression,0.75,0.86875,0.11875000000000002,0.75,0.86875,0.11875000000000002,0.75,0.8375,0.75,0.9,0.835,0.91234375
wavlm,0,German->Spanish,linear_svm,0.575,0.575,0.0,0.575,0.575,0.0,0.25,0.15,0.9,1.0,0.6599999999999999,0.8350000000000001
wavlm,0,German->Spanish,logistic_regression,0.6,0.6,0.0,0.6,0.6,0.0,0.25,0.2,0.95,1.0,0.625,0.815
wavlm,0,Spanish->German,linear_svm,0.45,0.44999999999999996,-5.551115123125783e-17,0.45,0.45,0.0,0.45,0.7,0.45,0.2,0.51,0.47500000000000003
wavlm,0,Spanish->German,logistic_regression,0.475,0.525,0.050000000000000044,0.475,0.525,0.050000000000000044,0.6,0.85,0.35,0.2,0.5,0.48
wavlm,0,Spanish->Spanish,linear_svm,0.75,0.8875,0.13749999999999996,0.75,0.8875,0.13749999999999996,0.65,0.925,0.85,0.85,0.91,0.975
