source_file,source_language,target_domain,condition_model,condition_layer,alpha,output_file,generation_status,method_used,notes
DE_HC_020.wav,German,Spanish-domain,xlsr,11,1.0,converted_audio_stage5b\german_to_spanish\DE_HC_020_to_Sp_domain_xlsr_layer11_alpha_1_00.wav,success,prototype embedding-conditioned conversion,Clipped samples: 0 (max peak=0.3132).
DE_PD_001.wav,German,Spanish-domain,xlsr,11,1.0,converted_audio_stage5b\german_to_spanish\DE_PD_001_to_Sp_domain_xlsr_layer11_alpha_1_00.wav,success,prototype embedding-conditioned conversion,Clipped samples: 0 (max peak=0.3512).
DE_PD_002.wav,German,Spanish-domain,xlsr,11,1.0,converted_audio_stage5b\german_to_spanish\DE_PD_002_to_Sp_domain_xlsr_layer11_alpha_1_00.wav,success,prototype embedding-conditioned conversion,Clipped samples: 0 (max peak=0.4471).
DE_PD_003.wav,German,Spanish-domain,xlsr,11,1.0,converted_audio_stage5b\german_to_spanish\DE_PD_003_to_Sp_domain_xlsr_layer11_alpha_1_00.wav,success,prototype embedding-conditioned conversion,Clipped samples: 0 (max peak=0.3860).
DE_PD_004.wav,German,Spanish-domain,xlsr,11,1.0,converted_audio_stage5b\german_to_spanish\DE_PD_004_to_Sp_domain_xlsr_layer11_alpha_1_00.wav,success,prototype embedding-conditioned conversion,Clipped samples: 0 (max peak=0.2892).
DE_PD_005.wav,German,Spanish-domain,xlsr,11,1.0,converted_audio_stage5b\german_to_spanish\DE_PD_005_to_Sp_domain_xlsr_layer11_alpha_1_00.wav,success,prototype embedding-conditioned conversion,Clipped samples: 0 (max peak=0.4098).
DE_PD_006.wav,German,Spanish-domain,xlsr,11,1.0,converted_audio_stage5b\german_to_spanish\DE_PD_006_to_Sp_domain_xlsr_layer11_alpha_1_00.wav,success,prototype embedding-conditioned conversion,Clipped samples: 0 (max peak=0.9683).
DE_PD_007.wav,German,Spanish-domain,xlsr,11,1.0,converted_audio_stage5b\german_to_spanish\DE_PD_007_to_Sp_domain_xlsr_layer11_alpha_1_00.wav,success,prototype embedding-conditioned conversion,Clipped samples: 0 (max peak=0.6214).
DE_PD_008.wav,German,Spanish-domain,xlsr,11,1.0,converted_audio_stage5b\german_to_spanish\DE_PD_008_to_Sp_domain_xlsr_layer11_alpha_1_00.wav,success,prototype embedding-conditioned conversion,Clipped samples: 0 (max peak=0.4199).
DE_PD_009.wav,German,Spanish-domain,xlsr,11,1.0,converted_audio_stage5b\german_to_spanish\DE_PD_009_to_Sp_domain_xlsr_layer11_alpha_1_00.wav,success,prototype embedding-conditioned conversion,Clipped samples: 0 (max peak=0.3785).
DE_PD_010.wav,German,Spanish-domain,xlsr,11,1.0,converted_audio_stage5b\german_to_spanish\DE_PD_010_to_Sp_domain_xlsr_layer11_alpha_1_00.wav,success,prototype embedding-conditioned conversion,Clipped samples: 0 (max peak=0.3048).
DE_PD_011.wav,German,Spanish-domain,xlsr,11,1.0,converted_audio_stage5b\german_to_spanish\DE_PD_011_to_Sp_domain_xlsr_layer11_alpha_1_00.wav,success,prototype embedding-conditioned conversion,Clipped samples: 0 (max peak=0.2711).
DE_PD_012.wav,German,Spanish-domain,xlsr,11,1.0,converted_audio_stage5b\german_to_spanish\DE_PD_012_to_Sp_domain_xlsr_layer11_alpha_1_00.wav,success,prototype embedding-conditioned conversion,Clipped samples: 0 (max peak=0.6702).
DE_PD_013.wav,German,Spanish-domain,xlsr,11,1.0,converted_audio_stage5b\german_to_spanish\DE_PD_013_to_Sp_domain_xlsr_layer11_alpha_1_00.wav,success,prototype embedding-conditioned conversion,Clipped samples: 0 (max peak=0.4473).
DE_PD_014.wav,German,Spanish-domain,xlsr,11,1.0,converted_audio_stage5b\german_to_spanish\DE_PD_014_to_Sp_domain_xlsr_layer11_alpha_1_00.wav,success,prototype embedding-conditioned conversion,Clipped samples: 0 (max peak=0.4533).
DE_PD_015.wav,German,Spanish-domain,xlsr,11,1.0,converted_audio_stage5b\german_to_spanish\DE_PD_015_to_Sp_domain_xlsr_layer11_alpha_1_00.wav,success,prototype embedding-conditioned conversion,Clipped samples: 0 (max peak=0.3754).
DE_PD_016.wav,German,Spanish-domain,xlsr,11,1.0,converted_audio_stage5b\german_to_spanish\DE_PD_016_to_Sp_domain_xlsr_layer11_alpha_1_00.wav,success,prototype embedding-conditioned conversion,Clipped samples: 0 (max peak=0.3956).
DE_PD_017.wav,German,Spanish-domain,xlsr,11,1.0,converted_audio_stage5b\german_to_spanish\DE_PD_017_to_Sp_domain_xlsr_layer11_alpha_1_00.wav,success,prototype embedding-conditioned conversion,Clipped samples: 0 (max peak=0.3982).
DE_PD_018.wav,German,Spanish-domain,xlsr,11,1.0,converted_audio_stage5b\german_to_spanish\DE_PD_018_to_Sp_domain_xlsr_layer11_alpha_1_00.wav,success,prototype embedding-conditioned conversion,Clipped samples: 0 (max peak=0.4685).
DE_PD_019.wav,German,Spanish-domain,xlsr,11,1.0,converted_audio_stage5b\german_to_spanish\DE_PD_019_to_Sp_domain_xlsr_layer11_alpha_1_00.wav,success,prototype embedding-conditioned conversion,Clipped samples: 0 (max peak=0.6198).
