filename_pair,original_filename,generated_filename,original_duration,generated_duration,duration_difference,sample_rate,max_amplitude_original,max_amplitude_generated,rms_original,rms_generated,status
DE_PD_014.wav <-> DE_PD_014_generated.wav,DE_PD_014.wav,DE_PD_014_generated.wav,43.37487528344671,43.37487528344671,0.0,22050,0.999969482421875,0.913543701171875,0.10254969447851181,0.09654659032821655,success
DE_PD_015.wav <-> DE_PD_015_generated.wav,DE_PD_015.wav,DE_PD_015_generated.wav,44.39659863945578,44.39655328798186,-4.535147392203953e-05,22050,0.999969482421875,0.895965576171875,0.145011305809021,0.1346418708562851,success
DE_PD_016.wav <-> DE_PD_016_generated.wav,DE_PD_016.wav,DE_PD_016_generated.wav,56.02394557823129,56.018140589569164,-0.005804988662127641,22050,1.0,0.889434814453125,0.14608259499073029,0.1205458715558052,success
DE_PD_017.wav <-> DE_PD_017_generated.wav,DE_PD_017.wav,DE_PD_017_generated.wav,45.33551020408163,45.3253514739229,-0.010158730158728702,22050,1.0,0.992462158203125,0.17601345479488373,0.16715329885482788,success
DE_PD_018.wav <-> DE_PD_018_generated.wav,DE_PD_018.wav,DE_PD_018_generated.wav,40.42884353741496,40.4259410430839,-0.002902494331060268,22050,1.0,0.97357177734375,0.19122616946697235,0.16793861985206604,success
DE_PD_019.wav <-> DE_PD_019_generated.wav,DE_PD_019.wav,DE_PD_019_generated.wav,41.145759637188206,41.145759637188206,0.0,22050,0.999969482421875,0.774078369140625,0.08205340802669525,0.07665647566318512,success
DE_PD_020.wav <-> DE_PD_020_generated.wav,DE_PD_020.wav,DE_PD_020_generated.wav,56.65668934240363,56.65668934240363,0.0,22050,0.999969482421875,0.8465576171875,0.08896691352128983,0.08028444647789001,success
SP_HC_001.wav <-> SP_HC_001_generated.wav,SP_HC_001.wav,SP_HC_001_generated.wav,17.4702947845805,17.46140589569161,-0.008888888888890278,22050,0.999969482421875,0.83038330078125,0.11755180358886719,0.11294519156217575,success
SP_HC_002.wav <-> SP_HC_002_generated.wav,SP_HC_002.wav,SP_HC_002_generated.wav,16.99206349206349,16.985396825396826,-0.006666666666664156,22050,0.999969482421875,0.907623291015625,0.07980260998010635,0.07551164925098419,success
SP_HC_003.wav <-> SP_HC_003_generated.wav,SP_HC_003.wav,SP_HC_003_generated.wav,17.076190476190476,17.066666666666666,-0.00952380952380949,22050,0.999969482421875,0.9114990234375,0.1102268323302269,0.10526885092258453,success
SP_HC_004.wav <-> SP_HC_004_generated.wav,SP_HC_004.wav,SP_HC_004_generated.wav,14.356190476190477,14.349931972789115,-0.006258503401362248,22050,0.999969482421875,0.965789794921875,0.16716521978378296,0.15505412220954895,success
SP_HC_005.wav <-> SP_HC_005_generated.wav,SP_HC_005.wav,SP_HC_005_generated.wav,17.799455782312926,17.79809523809524,-0.001360544217686055,22050,0.999969482421875,0.903289794921875,0.10341018438339233,0.09875547140836716,success
SP_HC_006.wav <-> SP_HC_006_generated.wav,SP_HC_006.wav,SP_HC_006_generated.wav,18.868163265306123,18.866213151927436,-0.0019501133786867797,22050,0.999969482421875,0.888763427734375,0.07359544932842255,0.07270261645317078,success
SP_HC_007.wav <-> SP_HC_007_generated.wav,SP_HC_007.wav,SP_HC_007_generated.wav,17.91265306122449,17.902585034013605,-0.010068027210884622,22050,1.0,0.938934326171875,0.139560729265213,0.1285189390182495,success
SP_HC_008.wav <-> SP_HC_008_generated.wav,SP_HC_008.wav,SP_HC_008_generated.wav,19.34684807256236,19.342222222222222,-0.00462585034013685,22050,0.999969482421875,0.877960205078125,0.10813900083303452,0.10247905552387238,success
SP_HC_009.wav <-> SP_HC_009_generated.wav,SP_HC_009.wav,SP_HC_009_generated.wav,16.747437641723355,16.741587301587302,-0.005850340136053234,22050,0.999969482421875,0.951934814453125,0.11367595940828323,0.10235396027565002,success
SP_HC_010.wav <-> SP_HC_010_generated.wav,SP_HC_010.wav,SP_HC_010_generated.wav,17.3584126984127,17.356916099773244,-0.0014965986394557262,22050,0.999969482421875,0.86163330078125,0.13136455416679382,0.12531837821006775,success
SP_HC_011.wav <-> SP_HC_011_generated.wav,SP_HC_011.wav,SP_HC_011_generated.wav,14.478412698412699,14.477641723356008,-0.0007709750566906592,22050,1.0,0.94195556640625,0.15198677778244019,0.14464132487773895,success
SP_HC_012.wav <-> SP_HC_012_generated.wav,SP_HC_012.wav,SP_HC_012_generated.wav,19.51628117913832,19.504761904761907,-0.011519274376414756,22050,1.0,0.906951904296875,0.07597411423921585,0.07191935181617737,success
SP_HC_013.wav <-> SP_HC_013_generated.wav,SP_HC_013.wav,SP_HC_013_generated.wav,15.919092970521541,15.917278911564626,-0.001814058956915332,22050,0.999969482421875,0.9476318359375,0.12502804398536682,0.12092117220163345,success
SP_HC_014.wav <-> SP_HC_014_generated.wav,SP_HC_014.wav,SP_HC_014_generated.wav,19.316281179138322,19.30739229024943,-0.008888888888890278,22050,1.0,0.892730712890625,0.0843156948685646,0.08167263120412827,success
SP_HC_015.wav <-> SP_HC_015_generated.wav,SP_HC_015.wav,SP_HC_015_generated.wav,13.236689342403627,13.235374149659863,-0.0013151927437640154,22050,0.999969482421875,0.7822265625,0.08619914203882217,0.08481473475694656,success
