model,layer,train_language,test_language,classifier,uar_orig,acc_orig,uar_gen,acc_gen,uar_diff,acc_diff
wavlm,4,Spanish,Spanish,logistic_regression,0.925,0.925,0.925,0.925,0.0,0.0
wavlm,4,Spanish,German,linear_svm,0.5,0.5,0.55,0.55,0.050000000000000044,0.050000000000000044
wavlm,4,Spanish,German,logistic_regression,0.475,0.475,0.525,0.525,0.050000000000000044,0.050000000000000044
wavlm,4,German,German,linear_svm,0.6499999999999999,0.65,0.6499999999999999,0.65,0.0,0.0
wavlm,4,German,German,logistic_regression,0.675,0.675,0.6,0.6,-0.07500000000000007,-0.07500000000000007
wavlm,4,German,Spanish,linear_svm,0.5,0.5,0.625,0.625,0.125,0.125
wavlm,4,German,Spanish,logistic_regression,0.45,0.45,0.6,0.6,0.14999999999999997,0.14999999999999997
wavlm,4,Spanish+German,Spanish+German,linear_svm,0.675,0.675,0.6875,0.6875,0.012499999999999956,0.012499999999999956
wavlm,4,Spanish+German,Spanish+German,logistic_regression,0.6625,0.6625,0.6875,0.6875,0.025000000000000022,0.025000000000000022
wavlm,8,Spanish,Spanish,linear_svm,0.7749999999999999,0.775,0.825,0.825,0.050000000000000044,0.04999999999999993
wavlm,8,Spanish,Spanish,logistic_regression,0.85,0.85,0.8,0.8,-0.04999999999999993,-0.04999999999999993
wavlm,8,Spanish,German,linear_svm,0.5249999999999999,0.525,0.5,0.5,-0.02499999999999991,-0.025000000000000022
wavlm,8,Spanish,German,logistic_regression,0.55,0.55,0.5,0.5,-0.050000000000000044,-0.050000000000000044
wavlm,8,German,German,linear_svm,0.675,0.675,0.675,0.675,0.0,0.0
wavlm,8,German,German,logistic_regression,0.65,0.65,0.7,0.7,0.04999999999999993,0.04999999999999993
wavlm,8,German,Spanish,linear_svm,0.7250000000000001,0.725,0.6,0.6,-0.1250000000000001,-0.125
wavlm,8,German,Spanish,logistic_regression,0.725,0.725,0.575,0.575,-0.15000000000000002,-0.15000000000000002
wavlm,8,Spanish+German,Spanish+German,linear_svm,0.7625,0.7625,0.8,0.8,0.03750000000000009,0.03750000000000009
wavlm,8,Spanish+German,Spanish+German,logistic_regression,0.7625,0.7625,0.7875,0.7875,0.025000000000000022,0.025000000000000022
