model,layer,train_language,test_language,classifier,official_baseline_uar,stage4_preprocessed_original_uar,difference,absolute_difference,exact_match
wav2vec2,4,Spanish,German,linear_svm,0.5909090909090909,0.5852272727272727,-0.005681818181818232,0.005681818181818232,False
wav2vec2,4,Spanish,German,logistic_regression,0.6647727272727273,0.6590909090909091,-0.005681818181818232,0.005681818181818232,False
wav2vec2,4,German,German,linear_svm,0.7159090909090909,0.7613636363636364,0.045454545454545414,0.045454545454545414,False
wav2vec2,4,German,German,logistic_regression,0.7784090909090908,0.7784090909090908,0.0,0.0,True
wav2vec2,4,German,Spanish,linear_svm,0.52,0.53,0.010000000000000009,0.010000000000000009,False
wav2vec2,4,German,Spanish,logistic_regression,0.5599999999999999,0.5599999999999999,0.0,0.0,True
wav2vec2,4,Spanish+German,Spanish+German,linear_svm,0.7427536231884058,0.7681159420289855,0.025362318840579712,0.025362318840579712,False
wav2vec2,4,Spanish+German,Spanish+German,logistic_regression,0.7753623188405797,0.7862318840579711,0.010869565217391353,0.010869565217391353,False
wav2vec2,8,Spanish,Spanish,linear_svm,0.76,0.75,-0.010000000000000009,0.010000000000000009,False
wav2vec2,8,Spanish,Spanish,logistic_regression,0.79,0.78,-0.010000000000000009,0.010000000000000009,False
wav2vec2,8,Spanish,German,linear_svm,0.5568181818181818,0.5397727272727273,-0.017045454545454475,0.017045454545454475,False
wav2vec2,8,Spanish,German,logistic_regression,0.5738636363636364,0.5795454545454546,0.005681818181818232,0.005681818181818232,False
wav2vec2,8,German,German,linear_svm,0.6931818181818181,0.7159090909090909,0.022727272727272818,0.022727272727272818,False
wav2vec2,8,German,German,logistic_regression,0.7613636363636364,0.7727272727272727,0.011363636363636354,0.011363636363636354,False
wav2vec2,8,German,Spanish,linear_svm,0.54,0.54,0.0,0.0,True
wav2vec2,8,German,Spanish,logistic_regression,0.63,0.62,-0.010000000000000009,0.010000000000000009,False
wav2vec2,8,Spanish+German,Spanish+German,linear_svm,0.7536231884057971,0.7427536231884058,-0.010869565217391353,0.010869565217391353,False
wav2vec2,8,Spanish+German,Spanish+German,logistic_regression,0.8079710144927537,0.7934782608695652,-0.01449275362318847,0.01449275362318847,False
wavlm,0,Spanish,Spanish,linear_svm,0.77,0.74,-0.030000000000000027,0.030000000000000027,False
wavlm,0,Spanish,Spanish,logistic_regression,0.73,0.71,-0.020000000000000018,0.020000000000000018,False
wavlm,0,Spanish,German,linear_svm,0.6420454545454546,0.6363636363636364,-0.005681818181818232,0.005681818181818232,False
wavlm,0,Spanish,German,logistic_regression,0.6477272727272727,0.6136363636363636,-0.03409090909090906,0.03409090909090906,False
wavlm,0,German,German,linear_svm,0.7045454545454546,0.6590909090909091,-0.045454545454545525,0.045454545454545525,False
wavlm,0,German,German,logistic_regression,0.7272727272727273,0.7045454545454546,-0.022727272727272707,0.022727272727272707,False
wavlm,0,German,Spanish,linear_svm,0.68,0.69,0.009999999999999898,0.009999999999999898,False
wavlm,0,German,Spanish,logistic_regression,0.69,0.7,0.010000000000000009,0.010000000000000009,False
wavlm,0,Spanish+German,Spanish+German,linear_svm,0.75,0.7391304347826086,-0.010869565217391353,0.010869565217391353,False
wavlm,0,Spanish+German,Spanish+German,logistic_regression,0.7536231884057971,0.75,-0.0036231884057971175,0.0036231884057971175,False
wavlm,11,Spanish,Spanish,linear_svm,0.74,0.74,0.0,0.0,True
wavlm,11,Spanish,Spanish,logistic_regression,0.78,0.78,0.0,0.0,True
wavlm,11,Spanish,German,linear_svm,0.6590909090909091,0.6818181818181818,0.022727272727272707,0.022727272727272707,False
wavlm,11,Spanish,German,logistic_regression,0.7272727272727273,0.7329545454545454,0.005681818181818121,0.005681818181818121,False
wavlm,11,German,German,linear_svm,0.7329545454545454,0.7443181818181819,0.011363636363636465,0.011363636363636465,False
wavlm,11,German,German,logistic_regression,0.7954545454545454,0.8011363636363636,0.005681818181818232,0.005681818181818232,False
