source_file,source_language,target_domain,condition_model,condition_layer,alpha,output_file,generation_status,method_used,notes
DE_HC_075.wav,German,Spanish-domain,xlsr,11,1.0,converted_audio_stage5c\german_to_spanish\DE_HC_075_to_Sp_domain_xlsr_layer11_alpha_1_00.wav,success,prototype embedding-conditioned conversion,Clipped samples: 0 (max peak=0.4458).
DE_HC_076.wav,German,Spanish-domain,xlsr,11,1.0,converted_audio_stage5c\german_to_spanish\DE_HC_076_to_Sp_domain_xlsr_layer11_alpha_1_00.wav,success,prototype embedding-conditioned conversion,Clipped samples: 0 (max peak=0.7782).
DE_HC_077.wav,German,Spanish-domain,xlsr,11,1.0,converted_audio_stage5c\german_to_spanish\DE_HC_077_to_Sp_domain_xlsr_layer11_alpha_1_00.wav,success,prototype embedding-conditioned conversion,Clipped samples: 0 (max peak=0.6955).
DE_HC_078.wav,German,Spanish-domain,xlsr,11,1.0,converted_audio_stage5c\german_to_spanish\DE_HC_078_to_Sp_domain_xlsr_layer11_alpha_1_00.wav,success,prototype embedding-conditioned conversion,Clipped samples: 0 (max peak=0.4955).
DE_HC_079.wav,German,Spanish-domain,xlsr,11,1.0,converted_audio_stage5c\german_to_spanish\DE_HC_079_to_Sp_domain_xlsr_layer11_alpha_1_00.wav,success,prototype embedding-conditioned conversion,Clipped samples: 0 (max peak=0.3979).
DE_HC_080.wav,German,Spanish-domain,xlsr,11,1.0,converted_audio_stage5c\german_to_spanish\DE_HC_080_to_Sp_domain_xlsr_layer11_alpha_1_00.wav,success,prototype embedding-conditioned conversion,Clipped samples: 0 (max peak=0.3450).
DE_HC_081.wav,German,Spanish-domain,xlsr,11,1.0,converted_audio_stage5c\german_to_spanish\DE_HC_081_to_Sp_domain_xlsr_layer11_alpha_1_00.wav,success,prototype embedding-conditioned conversion,Clipped samples: 0 (max peak=0.3194).
DE_HC_082.wav,German,Spanish-domain,xlsr,11,1.0,converted_audio_stage5c\german_to_spanish\DE_HC_082_to_Sp_domain_xlsr_layer11_alpha_1_00.wav,success,prototype embedding-conditioned conversion,Clipped samples: 0 (max peak=0.4600).
DE_HC_083.wav,German,Spanish-domain,xlsr,11,1.0,converted_audio_stage5c\german_to_spanish\DE_HC_083_to_Sp_domain_xlsr_layer11_alpha_1_00.wav,success,prototype embedding-conditioned conversion,Clipped samples: 0 (max peak=0.8947).
DE_HC_084.wav,German,Spanish-domain,xlsr,11,1.0,converted_audio_stage5c\german_to_spanish\DE_HC_084_to_Sp_domain_xlsr_layer11_alpha_1_00.wav,success,prototype embedding-conditioned conversion,Clipped samples: 0 (max peak=0.3757).
DE_HC_085.wav,German,Spanish-domain,xlsr,11,1.0,converted_audio_stage5c\german_to_spanish\DE_HC_085_to_Sp_domain_xlsr_layer11_alpha_1_00.wav,success,prototype embedding-conditioned conversion,Clipped samples: 0 (max peak=0.4037).
DE_HC_086.wav,German,Spanish-domain,xlsr,11,1.0,converted_audio_stage5c\german_to_spanish\DE_HC_086_to_Sp_domain_xlsr_layer11_alpha_1_00.wav,success,prototype embedding-conditioned conversion,Clipped samples: 0 (max peak=0.4016).
DE_HC_087.wav,German,Spanish-domain,xlsr,11,1.0,converted_audio_stage5c\german_to_spanish\DE_HC_087_to_Sp_domain_xlsr_layer11_alpha_1_00.wav,success,prototype embedding-conditioned conversion,Clipped samples: 0 (max peak=0.7740).
DE_HC_088.wav,German,Spanish-domain,xlsr,11,1.0,converted_audio_stage5c\german_to_spanish\DE_HC_088_to_Sp_domain_xlsr_layer11_alpha_1_00.wav,success,prototype embedding-conditioned conversion,Clipped samples: 0 (max peak=0.7062).
DE_PD_001.wav,German,Spanish-domain,xlsr,11,1.0,converted_audio_stage5c\german_to_spanish\DE_PD_001_to_Sp_domain_xlsr_layer11_alpha_1_00.wav,success,prototype embedding-conditioned conversion,Clipped samples: 0 (max peak=0.3616).
DE_PD_002.wav,German,Spanish-domain,xlsr,11,1.0,converted_audio_stage5c\german_to_spanish\DE_PD_002_to_Sp_domain_xlsr_layer11_alpha_1_00.wav,success,prototype embedding-conditioned conversion,Clipped samples: 0 (max peak=0.4053).
DE_PD_003.wav,German,Spanish-domain,xlsr,11,1.0,converted_audio_stage5c\german_to_spanish\DE_PD_003_to_Sp_domain_xlsr_layer11_alpha_1_00.wav,success,prototype embedding-conditioned conversion,Clipped samples: 0 (max peak=0.3829).
DE_PD_004.wav,German,Spanish-domain,xlsr,11,1.0,converted_audio_stage5c\german_to_spanish\DE_PD_004_to_Sp_domain_xlsr_layer11_alpha_1_00.wav,success,prototype embedding-conditioned conversion,Clipped samples: 0 (max peak=0.2576).
DE_PD_005.wav,German,Spanish-domain,xlsr,11,1.0,converted_audio_stage5c\german_to_spanish\DE_PD_005_to_Sp_domain_xlsr_layer11_alpha_1_00.wav,success,prototype embedding-conditioned conversion,Clipped samples: 0 (max peak=0.4343).
DE_PD_006.wav,German,Spanish-domain,xlsr,11,1.0,converted_audio_stage5c\german_to_spanish\DE_PD_006_to_Sp_domain_xlsr_layer11_alpha_1_00.wav,success,prototype embedding-conditioned conversion,Clipped samples: 0 (max peak=0.9763).
DE_PD_007.wav,German,Spanish-domain,xlsr,11,1.0,converted_audio_stage5c\german_to_spanish\DE_PD_007_to_Sp_domain_xlsr_layer11_alpha_1_00.wav,success,prototype embedding-conditioned conversion,Clipped samples: 0 (max peak=0.7269).
DE_PD_008.wav,German,Spanish-domain,xlsr,11,1.0,converted_audio_stage5c\german_to_spanish\DE_PD_008_to_Sp_domain_xlsr_layer11_alpha_1_00.wav,success,prototype embedding-conditioned conversion,Clipped samples: 0 (max peak=0.3877).
DE_PD_009.wav,German,Spanish-domain,xlsr,11,1.0,converted_audio_stage5c\german_to_spanish\DE_PD_009_to_Sp_domain_xlsr_layer11_alpha_1_00.wav,success,prototype embedding-conditioned conversion,Clipped samples: 0 (max peak=0.3596).
DE_PD_010.wav,German,Spanish-domain,xlsr,11,1.0,converted_audio_stage5c\german_to_spanish\DE_PD_010_to_Sp_domain_xlsr_layer11_alpha_1_00.wav,success,prototype embedding-conditioned conversion,Clipped samples: 0 (max peak=0.3114).
DE_PD_011.wav,German,Spanish-domain,xlsr,11,1.0,converted_audio_stage5c\german_to_spanish\DE_PD_011_to_Sp_domain_xlsr_layer11_alpha_1_00.wav,success,prototype embedding-conditioned conversion,Clipped samples: 0 (max peak=0.2954).
DE_PD_012.wav,German,Spanish-domain,xlsr,11,1.0,converted_audio_stage5c\german_to_spanish\DE_PD_012_to_Sp_domain_xlsr_layer11_alpha_1_00.wav,success,prototype embedding-conditioned conversion,Clipped samples: 0 (max peak=0.6471).
DE_PD_013.wav,German,Spanish-domain,xlsr,11,1.0,converted_audio_stage5c\german_to_spanish\DE_PD_013_to_Sp_domain_xlsr_layer11_alpha_1_00.wav,success,prototype embedding-conditioned conversion,Clipped samples: 0 (max peak=0.4813).
DE_PD_014.wav,German,Spanish-domain,xlsr,11,1.0,converted_audio_stage5c\german_to_spanish\DE_PD_014_to_Sp_domain_xlsr_layer11_alpha_1_00.wav,success,prototype embedding-conditioned conversion,Clipped samples: 0 (max peak=0.4376).
DE_PD_015.wav,German,Spanish-domain,xlsr,11,1.0,converted_audio_stage5c\german_to_spanish\DE_PD_015_to_Sp_domain_xlsr_layer11_alpha_1_00.wav,success,prototype embedding-conditioned conversion,Clipped samples: 0 (max peak=0.4124).
DE_PD_016.wav,German,Spanish-domain,xlsr,11,1.0,converted_audio_stage5c\german_to_spanish\DE_PD_016_to_Sp_domain_xlsr_layer11_alpha_1_00.wav,success,prototype embedding-conditioned conversion,Clipped samples: 0 (max peak=0.4934).
