evaluation_model,evaluation_layer,scenario,classifier,uar_original,uar_converted,uar_delta,accuracy_original,accuracy_converted,accuracy_delta,sensitivity_original,sensitivity_converted,specificity_original,specificity_converted,auc_original,auc_converted
wav2vec2,11,German->German,logistic_regression,0.75,0.8210227272727273,0.07102272727272729,0.75,0.8210227272727273,0.07102272727272729,0.7727272727272727,0.8409090909090909,0.7272727272727273,0.8011363636363636,0.8114669421487604,0.8864282024793388
wav2vec2,11,Combined->Combined,linear_svm,0.7355072463768115,0.822463768115942,0.08695652173913049,0.7355072463768116,0.822463768115942,0.08695652173913038,0.717391304347826,0.8007246376811594,0.7536231884057971,0.8442028985507246,0.818157950010502,0.8662439613526571
wav2vec2,11,Combined->Combined,logistic_regression,0.7789855072463768,0.8315217391304348,0.05253623188405798,0.7789855072463768,0.8315217391304348,0.05253623188405798,0.7608695652173914,0.8115942028985508,0.7971014492753623,0.8514492753623188,0.8327557235874816,0.8708385843310229
wavlm,0,German->Spanish,linear_svm,0.68,0.54,-0.14,0.68,0.54,-0.14,0.56,0.64,0.8,0.44,0.746,0.6072000000000001
wavlm,0,German->Spanish,logistic_regression,0.69,0.62,-0.06999999999999995,0.69,0.62,-0.06999999999999995,0.62,0.76,0.76,0.48,0.7487999999999999,0.6608
wavlm,0,Spanish->German,linear_svm,0.6420454545454546,0.5568181818181819,-0.08522727272727271,0.6420454545454546,0.5568181818181818,-0.08522727272727282,0.5113636363636364,0.625,0.7727272727272727,0.48863636363636365,0.7161027892561983,0.6038223140495866
wavlm,0,Spanish->German,logistic_regression,0.6477272727272727,0.5511363636363636,-0.09659090909090906,0.6477272727272727,0.5511363636363636,-0.09659090909090906,0.5454545454545454,0.7840909090909091,0.75,0.3181818181818182,0.7122933884297521,0.6157024793388429
wavlm,0,Spanish->Spanish,linear_svm,0.73,0.745,0.015000000000000013,0.73,0.745,0.015000000000000013,0.7,0.73,0.76,0.76,0.7805999999999998,0.78765
wavlm,0,Spanish->Spanish,logistic_regression,0.77,0.745,-0.025000000000000022,0.77,0.745,-0.025000000000000022,0.78,0.7,0.76,0.79,0.8048000000000001,0.7713
wavlm,0,German->German,linear_svm,0.6761363636363636,0.7727272727272727,0.09659090909090906,0.6761363636363636,0.7727272727272727,0.09659090909090906,0.6477272727272727,0.75,0.7045454545454546,0.7954545454545454,0.7567148760330579,0.8426200929752066
wavlm,0,German->German,logistic_regression,0.6988636363636364,0.7556818181818181,0.05681818181818177,0.6988636363636364,0.7556818181818182,0.05681818181818188,0.7159090909090909,0.7784090909090909,0.6818181818181818,0.7329545454545454,0.7667871900826446,0.8334839876033058
wavlm,0,Combined->Combined,linear_svm,0.7608695652173914,0.730072463768116,-0.030797101449275388,0.7608695652173914,0.730072463768116,-0.030797101449275388,0.8043478260869565,0.75,0.717391304347826,0.7101449275362319,0.7973639991598402,0.805358643142197
wavlm,0,Combined->Combined,logistic_regression,0.7246376811594203,0.7228260869565217,-0.0018115942028985588,0.7246376811594203,0.7228260869565217,-0.0018115942028985588,0.7318840579710145,0.7282608695652174,0.717391304347826,0.717391304347826,0.7629174543163201,0.7925199537912203
wavlm,4,German->Spanish,linear_svm,0.6699999999999999,0.63,-0.039999999999999925,0.67,0.63,-0.040000000000000036,0.7,0.78,0.64,0.48,0.6864,0.6489999999999999
wavlm,4,German->Spanish,logistic_regression,0.66,0.58,-0.08000000000000007,0.66,0.58,-0.08000000000000007,0.8,0.82,0.52,0.34,0.7040000000000001,0.6888000000000001
wavlm,4,Spanish->German,linear_svm,0.5170454545454546,0.5,-0.017045454545454586,0.5170454545454546,0.5,-0.017045454545454586,0.9772727272727273,0.9886363636363636,0.056818181818181816,0.011363636363636364,0.6574121900826446,0.6535382231404958
wavlm,4,Spanish->German,logistic_regression,0.5625,0.5,-0.0625,0.5625,0.5,-0.0625,0.9886363636363636,1.0,0.13636363636363635,0.0,0.6568956611570247,0.6616735537190083
wavlm,4,Spanish->Spanish,linear_svm,0.75,0.9099999999999999,0.15999999999999992,0.75,0.91,0.16000000000000003,0.68,0.88,0.82,0.94,0.8572,0.9402999999999999
wavlm,4,Spanish->Spanish,logistic_regression,0.78,0.8999999999999999,0.11999999999999988,0.78,0.9,0.12,0.68,0.84,0.88,0.96,0.8576,0.9360999999999998
wavlm,4,German->German,linear_svm,0.7386363636363636,0.8806818181818181,0.14204545454545447,0.7386363636363636,0.8806818181818182,0.14204545454545459,0.7272727272727273,0.8863636363636364,0.75,0.875,0.7953254132231405,0.9342071280991736
wavlm,4,German->German,logistic_regression,0.75,0.8778409090909092,0.12784090909090917,0.75,0.8778409090909091,0.12784090909090906,0.7613636363636364,0.8920454545454546,0.7386363636363636,0.8636363636363636,0.7931301652892562,0.9257166838842975
wavlm,4,Combined->Combined,linear_svm,0.7391304347826086,0.8496376811594203,0.11050724637681164,0.7391304347826086,0.8496376811594203,0.11050724637681164,0.717391304347826,0.8405797101449275,0.7608695652173914,0.8586956521739131,0.8019323671497585,0.9098994433942449
wavlm,4,Combined->Combined,logistic_regression,0.7391304347826086,0.8405797101449275,0.10144927536231885,0.7391304347826086,0.8405797101449275,0.10144927536231885,0.7463768115942029,0.8188405797101449,0.7318840579710145,0.8623188405797102,0.8147448015122872,0.902187040537702
wavlm,8,German->Spanish,linear_svm,0.55,0.49,-0.06000000000000005,0.55,0.49,-0.06000000000000005,0.72,0.5,0.38,0.48,0.582,0.48879999999999996
wavlm,8,German->Spanish,logistic_regression,0.63,0.62,-0.010000000000000009,0.63,0.62,-0.010000000000000009,0.8,0.62,0.46,0.62,0.7123999999999999,0.6556000000000001
wavlm,8,Spanish->German,linear_svm,0.625,0.5454545454545454,-0.07954545454545459,0.625,0.5454545454545454,-0.07954545454545459,0.9090909090909091,0.9545454545454546,0.3409090909090909,0.13636363636363635,0.6829803719008264,0.6824638429752067
wavlm,8,Spanish->German,logistic_regression,0.6534090909090908,0.6477272727272727,-0.005681818181818121,0.6534090909090909,0.6477272727272727,-0.005681818181818232,0.7840909090909091,0.9090909090909091,0.5227272727272727,0.38636363636363635,0.6896952479338843,0.709323347107438
wavlm,8,Spanish->Spanish,linear_svm,0.76,0.9099999999999999,0.1499999999999999,0.76,0.91,0.15000000000000002,0.72,0.86,0.8,0.96,0.8032,0.9650000000000001
wavlm,8,Spanish->Spanish,logistic_regression,0.75,0.895,0.14500000000000002,0.75,0.895,0.14500000000000002,0.7,0.82,0.8,0.97,0.8103999999999999,0.9588000000000001
wavlm,8,German->German,linear_svm,0.7443181818181819,0.9176136363636364,0.17329545454545447,0.7443181818181818,0.9176136363636364,0.17329545454545459,0.7272727272727273,0.9318181818181818,0.7613636363636364,0.9034090909090909,0.8228305785123967,0.9456030475206612
wavlm,8,German->German,logistic_regression,0.8181818181818182,0.9034090909090909,0.08522727272727271,0.8181818181818182,0.9034090909090909,0.08522727272727271,0.8181818181818182,0.9261363636363636,0.8181818181818182,0.8806818181818182,0.8747417355371901,0.9446668388429751
wavlm,8,Combined->Combined,linear_svm,0.7463768115942029,0.855072463768116,0.10869565217391308,0.7463768115942029,0.855072463768116,0.10869565217391308,0.7898550724637681,0.8586956521739131,0.7028985507246377,0.8514492753623188,0.8286599453896241,0.9195547153959253
wavlm,8,Combined->Combined,logistic_regression,0.786231884057971,0.8605072463768116,0.07427536231884069,0.7862318840579711,0.8605072463768116,0.07427536231884058,0.7971014492753623,0.8586956521739131,0.7753623188405797,0.8623188405797102,0.8539697542533081,0.9190952530980887
wavlm,11,German->Spanish,linear_svm,0.57,0.53,-0.039999999999999925,0.57,0.53,-0.039999999999999925,0.16,0.06,0.98,1.0,0.6458,0.5984
wavlm,11,German->Spanish,logistic_regression,0.67,0.61,-0.06000000000000005,0.67,0.61,-0.06000000000000005,0.46,0.26,0.88,0.96,0.7448,0.6968000000000001
wavlm,11,Spanish->German,linear_svm,0.6590909090909091,0.5056818181818182,-0.15340909090909083,0.6590909090909091,0.5056818181818182,-0.15340909090909083,0.9204545454545454,0.9772727272727273,0.3977272727272727,0.03409090909090909,0.7243026859504131,0.6565082644628097
